furry_status,age,gender,gender_alignment,orientation,country,religion,occupation,education,howfurry,howoften_write,howoften_draw,opinion_artwork,opinion_writing,opinion_online_communities,opinion_conventions,opinion_fursuiting,importance_artwork,importance_writing,importance_online_communities,importance_conventions,importance_fursuiting
furry,25,Genderqueer/genderfluid,complicated,Mostly homosexual,us,,student,ongoing_university,4,Several times a month,Never,10,10,,4,3,10,7,9,10,10
furry,24,Mostly male,cisgender,Pansexual,nl,Pagan,technical_it,technical_college,9,Less than once a year,Never,9,8,,9,9,10,8,10,8,8
furry,18,"Male, completely",cisgender,Completely homosexual,nl,Atheist,student,ongoing_highschool,8,Never,Several times a year,10,5,,9,10,9,4,10,8,7
furry,29,"Male, completely",cisgender,Pansexual,us,Atheist,sales_support,some_university,5,Never,Never,10,10,,10,10,10,10,10,10,10
furry,23,Equal parts male and female,transgender,Pansexual,us,Pagan,student,Other,3,Never,Weekly,9,6,,6,7,9,9,10,9,9
furry,38,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",professional,technical_college,4,Never,Never,10,9,,10,8,10,10,10,8,4
furry_adjacent,20,"Female, completely",cisgender,Completely heterosexual,ee,Agnostic,student,ongoing_highschool,6,Never,Daily,10,6,,10,10,10,8,10,10,9
furry,35,"Male, completely",cisgender,Completely heterosexual,us,,service,technical_college,7,Yearly,Never,10,8,,10,9,10,10,10,10,10
furry,19,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Agnostic,student,ongoing_highschool,8,Never,Never,10,10,,10,10,6,6,,7,8
furry,32,"Female, completely",cisgender,Completely homosexual,us,Pagan,creative_furry,graduate_highschool,10,Weekly,Daily,9,8,,2,4,10,10,10,2,4
postfurry,23,Non-binary (not otherwise specified),complicated,Pansexual,us,Agnostic,student,ongoing_university,8,Never,Daily,8,2,,6,6,10,5,10,10,10
furry,20,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,,student,ongoing_university,5,Less than once a year,Monthly,10,8,,10,9,8,7,9,7,6
fur_fan,48,"Male, completely",cisgender,"Bisexual, leaning homosexual",ca,Agnostic,unemployed,technical_college,7,Never,Never,10,10,,10,10,10,9,10,10,10
furry,18,"Male, completely",cisgender,Asexual,us,Agnostic,student,ongoing_highschool,7,Never,Several times a month,10,7,,6,6,10,10,10,8,7
furry_adjacent,19,"Male, completely",cisgender,Completely homosexual,de,Atheist,student,ongoing_highschool,3,Never,Never,10,10,,10,10,10,10,10,10,10
furry,21,"Male, completely",cisgender,Completely heterosexual,gb,Atheist,technical_it,technical_college,8,Never,Several times a month,9,8,,10,9,7,7,8,10,7
furry,20,"Male, completely",cisgender,Mostly heterosexual,us,,student,ongoing_highschool,4,Never,Several times a year,7,5,,5,5,1,1,1,1,1
fur_fan,20,Mostly female,transgender,Pansexual,au,Pagan,Other,technical_college,3,Never,Never,9,6,,6,6,10,3,10,8,8
furry_adjacent,20,"Male, completely",cisgender,Asexual,us,Agnostic,student,ongoing_university,5,Never,Yearly,10,10,,5,5,10,8,10,7,6
furry,26,"Male, completely",cisgender,Completely homosexual,au,Agnostic,unemployed,graduate_university,7,Several times a year,Yearly,10,9,,10,8,10,9,10,6,5
fur_fan,17,"Male, completely",cisgender,Mostly homosexual,es,Atheist,student,some_highschool,3,Monthly,Several times a month,7,9,,10,10,10,8,7,10,10
furry,25,"Male, completely",cisgender,Mostly heterosexual,us,Atheist,student,ongoing_university,6,Weekly,Never,10,10,,10,10,10,10,10,10,10
furry,14,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Catholic",student,,8,Never,Never,10,4,,9,10,8,2,7,7,7
furry,32,Mostly female,cisgender,Completely homosexual,us,Atheist,creative_furry,some_highschool,10,Several times a year,Weekly,10,,,,,10,10,10,10,10
furry,28,"Female, completely",transgender,Mostly homosexual,us,"Christian, Protestant",student,ongoing_postcollege,8,Several times a year,Several times a year,8,8,,,,9,8,8,7,7
furry,17,"Male, completely",cisgender,Completely heterosexual,us,Agnostic,student,ongoing_highschool,6,Never,Never,9,9,,10,10,10,8,8,10,10
furry,22,"Male, completely",cisgender,Completely homosexual,us,Atheist,Other,ongoing_university,8,Monthly,Weekly,8,9,,,,10,10,9,9,9
furry,23,Non-binary (not otherwise specified),complicated,Asexual,us,Atheist,service,graduate_postcollege,7,Never,Several times a month,10,9,,4,8,10,7,10,6,5
furry,18,"Male, completely",cisgender,Completely heterosexual,us,Agnostic,student,ongoing_highschool,4,Never,Several times a year,9,5,,7,8,9,4,9,9,8
furry,18,"Female, completely",cisgender,Bisexual,us,Agnostic,student,ongoing_highschool,3,Never,Several times a year,10,7,,8,9,10,6,10,9,8
furry_related,20,"Female, completely",cisgender,Pansexual,us,Atheist,creative_furry,graduate_highschool,,Never,Daily,9,5,,3,9,10,9,10,8,7
furry,28,"Male, completely",cisgender,Completely homosexual,us,,technical_it,some_university,6,Several times a month,Weekly,9,10,,8,10,10,9,10,10,9
furry,23,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,technical_it,graduate_university,8,Never,Weekly,10,10,,10,10,10,10,10,10,6
furry,19,"Female, completely",cisgender,"Bisexual, leaning heterosexual",us,,student,ongoing_highschool,8,Never,Several times a year,10,7,,8,10,10,7,8,8,10
furry,26,"Female, completely",cisgender,Completely heterosexual,us,"Christian, Catholic",Other,graduate_highschool,3,Never,Daily,5,5,,9,10,10,10,10,10,10
furry,25,Mostly male,cisgender,Pansexual,th,Buddhist,student,graduate_university,7,Never,Several times a month,10,7,,8,10,9,8,9,8,9
furry,25,Genderqueer/genderfluid,cisgender,"Bisexual, leaning heterosexual",at,Atheist,technical_it,graduate_highschool,8,Less than once a year,Several times a month,10,8,,10,10,10,5,9,9,6
furry,20,"Male, completely",cisgender,Bisexual,us,"Christian, Catholic",student,ongoing_university,6,Never,Several times a year,10,10,,9,9,10,10,10,6,6
furry,33,Genderqueer/genderfluid,transgender,"Bisexual, leaning heterosexual",gb,Atheist,sales_support,some_university,4,Never,Never,10,9,,7,5,9,8,10,7,5
furry,23,"Female, completely",transgender,"Bisexual, leaning heterosexual",ch,Pagan,student,ongoing_university,8,Several times a year,Weekly,10,9,,9,10,10,8,10,10,8
fur_fan,24,"Female, completely",cisgender,Asexual,fr,Agnostic,student,ongoing_university,4,Never,Weekly,7,2,,5,7,7,3,10,10,7
furry,30,"Male, completely",cisgender,Mostly homosexual,us,Agnostic,technical_it,some_university,8,Less than once a year,Less than once a year,9,5,,6,7,10,7,10,7,8
furry,23,"Male, completely",cisgender,Pansexual,us,"Christian, Catholic",creative_nonfurry,some_university,6,Several times a year,Never,10,9,,10,10,10,10,10,10,10
furry,20,"Male, completely",,Mostly heterosexual,gb,Atheist,student,Other,7,Several times a month,Never,9,10,,8,8,8,9,9,9,9
furry,23,Genderqueer/genderfluid,complicated,Bisexual,au,,student,ongoing_university,7,Never,Several times a year,5,5,,8,8,8,5,8,8,8
furry,24,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Agnostic,student,ongoing_university,8,Never,Less than once a year,9,7,,8,8,10,6,10,9,8
furry,27,"Male, completely",cisgender,Completely homosexual,pl,Agnostic,technical_it,graduate_university,7,Never,Several times a month,10,,,7,10,10,7,10,7,6
furry_adjacent,26,"Male, completely",cisgender,Completely homosexual,us,Agnostic,professional,graduate_university,8,Never,Daily,10,9,,,,10,9,9,6,6
postfurry,21,"Male, completely",cisgender,Mostly heterosexual,lt,"Christian, Catholic",student,technical_college,2,Never,Several times a year,10,8,,,10,10,10,10,10,10
furry,20,Genderqueer/genderfluid,transgender,Pansexual,us,Atheist,student,graduate_highschool,5,Monthly,Monthly,10,10,,9,9,1,1,1,1,1
furry_adjacent,21,"Male, completely",cisgender,Completely homosexual,us,Atheist,student,technical_college,1,Never,Never,10,9,,8,5,10,10,10,9,10
furry,27,"Male, completely",cisgender,"Bisexual, leaning homosexual",fr,Atheist,student,ongoing_university,2,Less than once a year,Never,7,5,,1,3,10,4,7,6,6
furry_adjacent,44,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,technical_it,some_university,7,Never,Never,10,4,,10,10,10,4,10,8,8
furry,17,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Protestant",student,ongoing_highschool,7,Never,Several times a month,10,,,8,9,1,1,1,1,1
furry,20,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",student,ongoing_university,6,Never,Never,,,,,,,,,,
furry,19,"Female, completely",transgender,Other,us,Pagan,student,graduate_highschool,6,Monthly,Several times a month,10,10,,10,10,10,10,10,9,8
furry,18,Mostly male,complicated,Asexual,gb,Atheist,student,ongoing_highschool,3,Never,Weekly,8,7,,8,8,7,6,8,8,7
furry,20,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,"Christian, Protestant",government_armed_service,ongoing_university,3,Never,Weekly,10,10,,2,4,10,10,10,10,10
furry,17,"Male, completely",cisgender,Completely heterosexual,us,,student,ongoing_highschool,5,Never,Several times a year,10,10,,10,10,8,8,8,8,8
furry,23,"Female, completely",cisgender,Completely homosexual,us,"Christian, Catholic",student,ongoing_university,2,Never,Several times a month,10,8,,7,7,8,8,8,6,3
furry,33,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Catholic",Other,technical_college,7,Never,Never,10,,,10,7,10,1,10,10,10
furry,24,Mostly female,transgender,Pansexual,us,Agnostic,student,Other,4,Several times a year,Daily,10,6,,8,8,10,10,10,10,10
furry,18,"Female, completely",cisgender,Other,us,,student,ongoing_highschool,2,Never,Never,7,2,,7,9,7,3,10,4,6
furry,28,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Protestant",student,ongoing_university,7,Less than once a year,Several times a year,10,7,,3,6,10,7,10,9,8
furry,21,"Male, completely",cisgender,"Bisexual, leaning heterosexual",au,Atheist,technical_it,some_highschool,8,Never,Less than once a year,10,10,,10,10,10,6,10,8,9
furry,28,"Male, completely",cisgender,Completely heterosexual,us,Agnostic,unemployed,technical_college,7,Never,Never,8,5,,5,7,10,10,10,10,10
furry,17,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,student,ongoing_highschool,7,Never,Daily,10,5,,10,10,10,5,10,10,10
furry,21,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Protestant",student,ongoing_university,8,Several times a year,Weekly,10,10,,9,9,10,9,10,9,5
furry,18,"Male, completely",cisgender,Mostly heterosexual,us,,student,ongoing_highschool,4,Monthly,Monthly,8,7,,5,5,8,7,9,7,6
furry,21,"Male, completely",cisgender,Mostly homosexual,pl,Atheist,technical_it,technical_college,7,Never,Never,10,8,,6,9,7,7,9,7,6
furry,30,Mostly male,cisgender,"Bisexual, leaning homosexual",us,Jewish,student,technical_college,8,Never,Less than once a year,9,9,,9,9,10,10,10,8,8
furry,21,"Male, completely",cisgender,Bisexual,us,,student,ongoing_university,5,Never,Never,9,5,,7,9,8,8,8,8,8
furry,35,Mostly male,transgender,Asexual,us,Pagan,technical_it,some_university,7,Never,Several times a month,10,6,,7,8,10,6,10,9,9
furry,28,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,student,ongoing_university,5,Several times a year,Several times a month,9,7,,10,9,10,9,10,9,9
furry,19,"Male, completely",cisgender,Mostly homosexual,ca,Atheist,student,graduate_highschool,7,Never,Weekly,10,7,,10,10,10,8,9,10,9
fur_fan,21,"Male, completely",cisgender,Mostly homosexual,us,Agnostic,unemployed,ongoing_university,4,Never,Several times a year,9,9,,9,9,8,8,10,10,8
fur_fan,18,Equal parts male and female,complicated,Pansexual,xx,Pagan,student,ongoing_highschool,8,Daily,Daily,10,10,,10,10,10,10,10,10,8
furry,21,"Male, completely",cisgender,"Bisexual, leaning homosexual",gb,Atheist,student,ongoing_university,7,Less than once a year,Yearly,10,10,,10,10,10,9,10,10,6
furry,26,"Male, completely",cisgender,Bisexual,us,Agnostic,technical_it,graduate_highschool,8,Yearly,Never,10,8,,9,10,10,10,10,9,9
furry,24,Mostly male,cisgender,Completely homosexual,us,Atheist,student,ongoing_university,7,Daily,Never,10,10,,10,10,10,10,9,10,8
furry,18,"Male, completely",cisgender,Mostly homosexual,us,Atheist,student,graduate_highschool,8,Never,Never,10,8,,10,10,10,8,10,10,10
furry_adjacent,19,"Male, completely",cisgender,Mostly heterosexual,de,,student,Other,4,Never,Monthly,10,7,,8,7,7,7,6,8,7
furry,20,"Male, completely",cisgender,Completely homosexual,ca,Agnostic,student,ongoing_university,9,Never,Never,10,10,,10,10,10,9,10,10,10
furry,31,"Male, completely",cisgender,Pansexual,us,Agnostic,technical_it,graduate_university,8,Never,Never,10,10,,10,10,10,10,10,10,10
furry,20,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,,student,ongoing_university,8,Less than once a year,Several times a month,10,10,,10,10,10,10,8,9,9
furry,31,"Male, completely",cisgender,Bisexual,us,Agnostic,service,some_university,6,Several times a year,Never,7,6,,7,7,9,3,7,9,8
furry,23,"Male, completely",cisgender,Completely homosexual,ca,"Christian, Catholic",student,ongoing_university,7,Never,Never,10,8,,7,6,8,8,9,9,8
furry,19,"Male, completely",cisgender,Asexual,no,Agnostic,student,ongoing_highschool,3,Never,Never,10,6,,9,10,10,7,10,8,8
furry,21,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,student,ongoing_university,6,Never,Never,9,8,,,,10,9,10,8,10
furry_adjacent,17,"Female, completely",transgender,Mostly homosexual,us,Agnostic,student,ongoing_highschool,3,Never,Never,9,4,,8,7,10,6,10,10,9
furry,26,"Male, completely",cisgender,Other,us,Atheist,technical_it,graduate_university,8,Several times a year,Several times a year,10,10,,5,7,10,10,10,10,10
furry,31,"Female, completely",cisgender,Completely heterosexual,de,Atheist,professional,technical_college,7,Never,Several times a month,8,6,,9,9,9,8,9,9,9
furry_related,23,"Male, completely",cisgender,Completely heterosexual,my,Atheist,student,ongoing_university,3,,,6,,,,,8,,8,10,7
furry,19,"Male, completely",cisgender,"Bisexual, leaning heterosexual",ar,Atheist,student,ongoing_highschool,4,Never,Less than once a year,10,7,,9,10,10,8,10,10,10
furry,23,"Female, completely",cisgender,"Bisexual, leaning heterosexual",us,,student,ongoing_postcollege,7,Never,Monthly,10,5,,6,8,9,9,9,8,8
furry,19,"Male, completely",cisgender,Mostly heterosexual,gb,Agnostic,student,technical_college,3,Never,Never,10,,,,,8,4,10,10,8
fur_fan,31,"Male, completely",cisgender,Mostly heterosexual,us,Jewish,professional,advanced_degree,2,Never,Never,8,8,,8,4,9,7,10,8,6
furry,17,"Male, completely",cisgender,Mostly homosexual,us,Agnostic,student,ongoing_highschool,8,Several times a month,Weekly,10,8,,10,10,9,7,8,10,10
furry,20,"Male, completely",cisgender,Bisexual,my,Muslim,student,technical_college,9,Several times a month,Several times a month,9,10,,10,10,10,10,8,10,10
furry,17,Equal parts male and female,cisgender,"Bisexual, leaning heterosexual",us,"Christian, Catholic",student,ongoing_highschool,9,Never,Daily,10,6,,10,9,10,5,10,10,10
fur_fan,33,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,unemployed,graduate_university,3,Never,Never,10,8,,5,7,9,8,10,6,8
furry,32,"Male, completely",cisgender,Completely homosexual,us,Agnostic,technical_it,graduate_university,9,Less than once a year,Less than once a year,10,10,,10,10,10,9,9,10,8
furry,33,"Male, completely",cisgender,Mostly homosexual,bm,Atheist,technical_it,technical_college,7,Never,Less than once a year,10,5,,8,8,6,5,8,8,7
,0,,,,xx,,student,Other,6,Less than once a year,Less than once a year,10,5,,6,3,10,8,10,8,1
furry,35,Genderqueer/genderfluid,transgender,Pansexual,us,Agnostic,creative_furry,technical_college,5,Never,Weekly,8,8,,8,8,10,7,10,10,10
furry,19,"Male, completely",cisgender,Asexual,fr,Atheist,student,ongoing_highschool,1,Never,Several times a year,10,,,6,9,10,5,10,9,8
fur_fan,20,"Male, completely",cisgender,"Bisexual, leaning heterosexual",au,Agnostic,student,ongoing_university,3,Never,Never,9,5,,7,6,10,8,10,9,9
furry,20,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,student,ongoing_university,3,Never,Never,8,,,,,10,7,7,8,3
furry,20,"Male, completely",cisgender,Completely heterosexual,us,"Christian, Catholic",student,ongoing_university,6,Never,Never,10,6,,10,4,10,10,10,10,10
furry,22,"Female, completely",cisgender,"Bisexual, leaning heterosexual",us,Atheist,student,ongoing_university,4,Never,Weekly,9,,,8,6,10,8,10,10,10
fur_fan,18,"Male, completely",cisgender,Completely heterosexual,us,,student,ongoing_highschool,5,Never,Never,10,10,,10,10,10,10,10,10,10
furry,17,"Male, completely",cisgender,Bisexual,gb,Atheist,student,ongoing_highschool,8,Never,Never,10,10,,10,10,8,10,7,10,10
furry_lifestyler,34,"Male, completely",cisgender,Mostly homosexual,us,,technical_it,some_highschool,8,Less than once a year,Never,5,10,,8,3,7,7,7,10,4
furry,20,Mostly male,cisgender,Bisexual,hn,Agnostic,student,ongoing_university,8,Never,Never,10,10,,10,10,10,10,10,10,8
furry,24,Genderqueer/genderfluid,transgender,Mostly homosexual,us,Agnostic,creative_furry,graduate_highschool,7,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,23,Mostly male,cisgender,Completely homosexual,ca,Agnostic,student,some_university,8,Several times a month,Less than once a year,10,10,,10,10,10,10,10,9,8
furry_lifestyler,1,Genderqueer/genderfluid,complicated,Pansexual,af,Pagan,creative_furry,some_highschool,10,,,,,,,,,,,,
furry,17,Non-binary (not otherwise specified),transgender,Bisexual,us,Atheist,student,ongoing_highschool,7,Monthly,Daily,10,8,,8,9,10,8,8,9,9
furry,20,"Male, completely",cisgender,Completely homosexual,us,"Christian, Protestant",student,graduate_highschool,9,Never,Never,10,6,,8,10,10,5,10,9,9
furry,23,"Male, completely",cisgender,Mostly homosexual,us,Agnostic,technical_it,some_university,10,Never,Never,10,4,,10,10,10,1,10,10,10
furry,21,"Male, completely",cisgender,Completely homosexual,hr,Atheist,service,some_highschool,8,Never,Never,10,8,,9,9,10,9,10,10,9
furry,20,"Male, completely",cisgender,Mostly homosexual,us,Atheist,student,ongoing_university,6,Never,Never,10,10,,10,10,8,8,8,8,8
furry,28,Other,cisgender,Completely heterosexual,ie,Agnostic,student,graduate_university,6,Never,Weekly,9,5,,8,7,9,7,9,8,7
nonfurry,16,"Female, completely",cisgender,Bisexual,us,Atheist,student,some_highschool,3,Never,Never,1,1,,1,1,10,10,10,10,10
furry,50,"Male, completely",cisgender,Mostly heterosexual,au,,technical_it,some_university,8,Never,Never,10,10,,9,9,10,10,9,8,6
furry_adjacent,25,"Male, completely",cisgender,Mostly heterosexual,do,,creative_furry,graduate_university,8,Never,Daily,9,5,,4,7,9,9,9,8,8
furry,27,"Male, completely",cisgender,Bisexual,us,Atheist,creative_nonfurry,graduate_university,6,Never,Never,9,7,,4,5,10,8,10,8,8
furry,20,"Male, completely",cisgender,Pansexual,us,Atheist,student,ongoing_university,5,Several times a year,Never,10,6,,9,10,10,10,10,9,9
furry,21,"Male, completely",cisgender,Pansexual,us,,student,ongoing_university,6,Never,Weekly,9,5,,8,8,1,1,1,1,1
furry,18,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Jewish,student,ongoing_highschool,6,Never,Never,9,5,,5,6,10,6,9,8,8
furry,17,"Female, completely",cisgender,Other,do,"Christian, Catholic",student,some_highschool,7,Less than once a year,Daily,8,1,,6,1,10,2,9,1,1
furry,23,"Male, completely",cisgender,Bisexual,ca,Atheist,technical_it,technical_college,3,Never,Never,8,5,,5,5,9,8,10,7,8
furry,27,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,Other,technical_college,7,Several times a year,Less than once a year,10,10,,10,10,10,10,10,10,8
fur_fan,21,"Male, completely",cisgender,Mostly heterosexual,us,,unemployed,graduate_highschool,7,Never,Never,10,8,,5,9,10,10,10,9,8
furry,46,"Male, completely",cisgender,"Bisexual, leaning heterosexual",gb,,creative_nonfurry,technical_college,3,Never,Several times a year,8,7,,,9,10,8,10,8,6
furry,21,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,student,ongoing_university,3,Less than once a year,Never,5,2,,3,2,7,4,10,8,6
furry,20,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,student,ongoing_university,4,Never,Never,9,7,,7,6,10,8,10,9,9
furry_lifestyler,22,Mostly male,cisgender,"Bisexual, leaning heterosexual",us,"Christian, Catholic",student,technical_college,6,Daily,Never,10,8,,8,10,10,10,10,8,10
furry,20,Non-binary (not otherwise specified),complicated,Pansexual,us,,student,Other,8,Never,Several times a year,10,10,,10,10,10,10,10,10,10
furry,28,Genderqueer/genderfluid,cisgender,"Bisexual, leaning homosexual",us,Agnostic,government_armed_service,some_university,6,Yearly,Several times a year,7,5,,8,7,8,8,10,9,8
furry,20,Mostly female,cisgender,Completely homosexual,us,Agnostic,student,ongoing_university,5,Never,Less than once a year,8,6,,6,9,9,6,8,6,9
furry,15,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,student,ongoing_highschool,6,Never,Several times a year,10,10,,10,10,10,5,10,10,10
furry,21,"Male, completely",cisgender,Completely heterosexual,us,Atheist,unemployed,graduate_highschool,7,Never,Never,10,1,,6,6,10,1,7,8,6
furry,18,"Male, completely",cisgender,"Bisexual, leaning heterosexual",br,Atheist,student,ongoing_highschool,5,Several times a month,Monthly,10,7,,10,10,10,4,10,10,10
furry,21,"Female, completely",transgender,Bisexual,us,Agnostic,student,ongoing_university,10,Never,Several times a year,10,2,,10,10,10,3,10,6,10
furry,19,Mostly male,,Asexual,gb,Atheist,student,ongoing_highschool,6,Never,Weekly,10,7,,10,9,10,2,10,10,8
furry,40,Mostly male,cisgender,Bisexual,us,Agnostic,technical_it,technical_college,6,Never,Several times a year,10,5,,8,6,10,7,10,9,7
furry,15,"Male, completely",cisgender,Mostly homosexual,us,Jewish,student,ongoing_highschool,10,Never,Less than once a year,9,9,,10,10,8,8,9,6,10
furry,23,Neutrois/agender,transgender,Other,ca,Agnostic,student,graduate_highschool,7,Yearly,Never,8,7,,6,6,7,7,8,7,7
furry,31,"Male, completely",cisgender,Mostly homosexual,us,Atheist,technical_it,some_university,10,Never,Less than once a year,10,8,,10,10,10,6,10,10,10
furry,23,Genderqueer/genderfluid,complicated,Pansexual,us,,sales_support,graduate_highschool,5,Less than once a year,Several times a year,8,6,,9,8,10,9,10,9,9
furry,28,Mostly female,transgender,Pansexual,us,Pagan,service,graduate_highschool,7,Less than once a year,Less than once a year,9,10,,7,8,10,9,8,7,6
furry,38,"Male, completely",cisgender,Completely homosexual,us,Atheist,sales_support,some_university,5,Never,Never,10,9,,8,3,10,3,10,10,10
furry_adjacent,19,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Catholic",student,ongoing_highschool,3,Never,Weekly,10,9,,7,9,10,10,10,8,9
furry,29,"Female, completely",cisgender,Mostly heterosexual,us,Atheist,creative_furry,graduate_university,9,Never,Daily,10,7,,9,10,10,8,10,10,7
furry,22,"Male, completely",cisgender,Bisexual,de,Agnostic,student,ongoing_university,6,Never,Never,10,5,,6,8,10,7,10,9,9
furry,25,"Female, completely",cisgender,Asexual,us,Agnostic,vet_animal_related,some_university,,Never,Daily,10,10,,10,10,10,10,10,10,10
furry,18,"Male, completely",transgender,Asexual,au,Jewish,student,ongoing_university,5,Never,Weekly,9,5,,8,8,10,10,10,10,10
furry,21,Mostly female,complicated,Pansexual,us,,student,technical_college,10,Several times a month,Never,10,10,,10,6,9,7,10,6,6
furry_adjacent,20,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,student,ongoing_university,2,Never,Never,8,7,,3,1,9,8,9,5,1
furry,21,"Male, completely",cisgender,Mostly heterosexual,us,Agnostic,technical_it,graduate_highschool,8,Never,Never,9,7,,6,5,10,7,9,7,8
furry,0,Mostly male,cisgender,"Bisexual, leaning homosexual",us,Pagan,student,ongoing_university,4,Never,Never,10,10,,8,7,10,10,8,9,6
furry,33,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Agnostic,technical_it,graduate_university,5,Never,Never,10,7,,7,7,10,10,8,10,9
,0,,,,xx,,,,,,,,,,,,,,,,
furry,16,"Male, completely",cisgender,Mostly homosexual,us,,student,ongoing_highschool,6,Never,Several times a month,10,6,,7,7,9,5,8,9,9
furry,19,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,student,ongoing_highschool,6,Weekly,Daily,10,10,,10,10,10,3,10,10,10
fur_fan,18,"Male, completely",cisgender,Mostly heterosexual,us,Atheist,student,,8,Never,Several times a month,9,6,,,9,9,7,9,8,7
furry_adjacent,19,"Male, completely",cisgender,Mostly homosexual,us,"Christian, Catholic",student,ongoing_highschool,4,Never,Weekly,10,9,,7,8,10,9,10,9,8
furry,20,"Male, completely",transgender,"Bisexual, leaning homosexual",us,"Christian, Catholic",student,ongoing_highschool,5,Never,Never,10,10,,10,10,10,10,10,10,10
furry,38,"Male, completely",cisgender,"Bisexual, leaning heterosexual",mx,,technical_it,graduate_university,10,Less than once a year,Less than once a year,10,10,,10,10,10,10,10,10,10
furry,19,"Male, completely",cisgender,Mostly homosexual,us,Atheist,student,graduate_highschool,6,Yearly,Less than once a year,8,7,,7,6,9,8,10,8,8
furry,19,"Male, completely",cisgender,Completely homosexual,fr,Atheist,student,ongoing_highschool,8,Never,Less than once a year,10,7,,9,8,10,9,10,10,10
furry,22,"Male, completely",cisgender,"Bisexual, leaning homosexual",us,Atheist,government_armed_service,technical_college,6,Never,Monthly,10,5,,10,10,10,10,10,10,10
,17,"Male, completely",cisgender,Completely heterosexual,ch,Atheist,student,ongoing_highschool,7,Weekly,Weekly,10,10,,6,3,9,9,7,5,2
furry,23,"Male, completely",cisgender,Completely homosexual,us,Atheist,student,graduate_university,5,Never,Monthly,7,8,,10,8,10,5,10,9,7
furry,17,Mostly male,cisgender,Bisexual,ca,Atheist,student,ongoing_highschool,8,Never,Never,10,10,,10,10,10,5,9,10,10
fur_fan,32,"Male, completely",cisgender,"Bisexual, leaning heterosexual",us,Agnostic,technical_it,technical_college,10,Never,Never,10,10,,,,10,10,10,8,8
furry,30,"Male, completely",cisgender,"Bisexual, leaning homosexual",gb,Atheist,creative_nonfurry,graduate_university,8,Never,Never,10,5,,8,7,10,7,9,10,9
furry,31,Mostly male,complicated,"Bisexual, leaning homosexual",us,Atheist,service,some_university,4,Never,Never,10,5,,7,5,10,4,9,10,5
furry,23,Equal parts male and female,complicated,"Bisexual, leaning heterosexual",ca,Atheist,student,ongoing_postcollege,4,Never,Daily,8,7,,9,7,10,10,10,9,7
furry,24,"Male, completely",cisgender,Mostly heterosexual,us,"Christian, Catholic",student,ongoing_university,4,Daily,Several times a year,10,10,,8,8,10,8,10,10,10
furry,19,Mostly male,cisgender,"Bisexual, leaning heterosexual",pl,Agnostic,student,ongoing_highschool,7,Yearly,Yearly,9,8,,7,4,10,10,10,9,3
furry,21,"Male, completely",cisgender,Completely homosexual,us,Atheist,student,ongoing_university,4,Never,Less than once a year,10,10,,10,10,10,10,10,10,10
furry,30,Mostly male,cisgender,Bisexual,us,Buddhist,creative_nonfurry,advanced_degree,7,Monthly,Yearly,10,5,,,,10,4,10,5,6
furry,21,"Male, completely",cisgender,Mostly heterosexual,us,Jewish,student,ongoing_university,7,Several times a year,Monthly,9,10,,5,4,10,8,10,5,2
furry,33,"Female, completely",cisgender,Completely heterosexual,gb,Agnostic,creative_nonfurry,graduate_highschool,7,Never,Weekly,9,2,,9,6,10,7,10,8,8
furry,22,"Female, completely",transgender,Pansexual,us,Agnostic,student,ongoing_university,6,Never,Monthly,10,10,,9,9,8,8,10,9,7
furry_adjacent,20,"Male, completely",cisgender,Mostly heterosexual,us,Atheist,student,ongoing_university,6,Several times a year,Several times a month,8,9,,5,3,10,8,9,6,7
