species,reason
seaotter,A strong attraction.
arcticfox,"I dunno, I guess not really. I just have a fascination with foxes and enjoy the cold. I also like a little variety, even though I'm not very creative, and I find arctic foxes are a bit rare-ish."
domesticcat,personal emotional experience
germanshepherd,"I feel close to the breed, And own a German Shepherd as well."
otherfeline,"Cats are agile, fast, and sneaky. They also seem quite intelligent in comparison to various species."
otherbird,Birds are free like I want to be. They can go anywhere they want with no troubles.
domesticcat,"I have always liked felines, and I feel that my personality would match that of a cat the most."
greyfox,"I've always like foxes since I saw Disney's Robin hood as a kid and dream that I was Robin. I identify with foxes in their intelligence, curiosity, and intellectual playfulness. At first I was leaning towards being a red fox, but I ended up choosing grey because they are more unique in the fandom, they are more shy in the wild (which I think fits my personality), and the fandom has fewer expected character roles for grey foxes, compared to red, so I would have an easier time making my character whatever I want him to be."
wolf,The Wolf is a atrong and majestic beast. I have always admired its beauty and its strength.
wolf,The lone wolf aspect.
coyote,"I've always been able to comfort to whatever social situation I'm in, and I've always had a mixed love of both natural and urban environments."
otherbear,He came to me in a dream.
bat,"My two 'sonas are mostly a way to represent my pseudo dual personality (Gemini sign thinguie, about being ""two-faced""). The bat, my first 'sona to date, used to be my own self years back, circa 04~06, when I was more serious and pessimistic with life in general.

I started using the mimiga 'sona when I begun to develop a cheerful, playful side (immature, even) after being in deeper contact with the furdon, and thanks to the support of a few anonymous furries back at '07s turn.

Since then, I've been used to represent myself using them both. My mimiga side, for when I'm being a big child, and my bat 'sona, for when I to act more like my age, more serious and responsible than what I prefer to be."
otherdog,"I find dalmatians especially attractive, also the comic lapping the competition was one of the first serious furry products i came in contact with and it pushed me into more of the furry world."
horse,"I feel that horses are strong and can show compassion and loyalty to their friends and loved ones, much like the way I do on a daily basis."
wolf,"They're what I am as Otherkin, transferred over to a fursona"
redfox,"The fox's cunning instincts resemble my own, and the solitary wolf is a metaphysical representation of myself "
husky,"No particular reason other than I like huskies (they are pretty dogs, I own a husky mix) and I think jackals are unique animals (I also enjoy learning about ancient Egyptian culture/mythology)."
husky,"Im very understanding and nice to people but if im pushed i am very aggresive,im also playful."
redfox,"yes, it reminds me of myself both in ways that I like and that I don't like. "
redfox,I feel linked to both these animals because they represent my personality.
wolf,"Indigenous to my area, appealing to my aesthetics, personality traits I have or want to have."
wolf,I like those animals.
wolf,Wolves are my favorite animal. They are beautiful to me.
dragon,Strangely it is simply a yes or no question:  Are you a dragon?  Yes.
wolf,I like them and I think they represent me well.
otherfox,Not exactly sure. Always liked foxes and such. Hard to explain as though it is a deep seeded feeling?
otherdog,"I like it when everyone is happy, I like to please people and make them happy/ proud of me. "
otherungulate,"Ungulates are rather under-represented in the fandom, so naturally I gravitate to sort of an ""underdog"" species. I am also a vegetarian so I associate more with herbivores than carnivores. "
tiger,"Strong attraction to the ideal of feline agility, power and strength. Specific mental ""pull"" towards tigers from a very young age. It just ""felt right"", though not in an otherkin kind of way."
wolf,"Wolfs are proud a lot like the charicter I make, also there is a alpha, beta etc social standing with my charicters

And they look awesome :D"
lion,"Leonine Personality - strength and firece when provoked / threatened, but otherwise willing to just let things be. Tribbles love food; what's not to admire there?"
riverotter,"I feel that I share traits with both animals, I also find them very attractive both sexualy, and in a platonic way. "
coyote,"My time as a coyote is as long as my time in the fandom. My nature is coyote-ish: opportunist, amoral, survival-oriented, a bit on the flippant and humorous side. And canids are just my 'thing.'"
husky,"Furry, cute , playful, sneaky, good tracker, belongs to pack, friendly to pack, adaptable, agile"
lion,"Astrologically I was born a Leo, although I don't put any stock in astrology. I find I identify with some of the positive, and even some of the negative, traits attributed to lions. And when I let my hair grow out, it naturally came out rather flowing and mane-like."
lizard,I´ve always loved reptiles.
jackal,"General perception of jackals being tricky, sly, cunning things, often with an evil tone and their perceived ""lone wolf"" lifestyle. Also some physical traits, such as slender physique."
wolf,Reflective of personality in relation to the species behaviour.
wolf,"Jasper's a fun loving, wily and resourceful, attention seeking coyote/wolf hybrid with a nose for adventure and roast chicken. Exploding into reality like a locomotive on speed, Jasper is my connection to that magical place grown-ups call the imagination! 

There isn't anything particularly special about Jasper's looks. He is what he is, and he does what he does. But he does it with a grin on his face and a song in his heart. Jasper's happy and content with himself, his surroundings, and everything he does. There isn't much that happens that can make him angry or upset. Some would call Jasper a slacker, others would call him what ever they like. The point is Jasper is better then all of that. He doesnt need to look or sound special to feel apreciated. He can see it in the things he does!"
wolf,I am this animal inside.
dragon,"Dragon, specifically a red dragon, because:
I utterly detest cold. Cold is bad.
I hoard things.
I tend to be possessive of things, especially that which I hold dear.
I have an affinity with fire
I breath fire (No, I'm not joking.)
"
wolf,"I am an excellent hunter, when I function in an operation I work with my pack, and I dont attack until attacked."
raven,I admire the cunning and intelligence of the raven.
wolf,"I love wolves... What I do not see in humans, I see in them. Their lives seem so much better than the way most people live. It's so simple."
hyaena,"I love Wolves, Foxes, Coyotes and all Dogs. I also love Cows, as my mate has a Cow fursona."
dragon,Yes
snowleopard,"Solitairy, isolated, mis-understood and rare to find."
raccoon,I feel that raccoons are the best non-feline animal.
lion,"I am a huge lion-lover. I love what they stand for, being courage, strength, etc., traits everyone loves. "
othermustelid,"Otters are fun and playful, but they have a lot of human-like qualities, such as emotion and complex teamwork. They can also be vicious and unpredictable, and the Marine Otter is a lesser-known species; I feel sometimes that I enjoy being out of the spotlight and in the background where I am comfortable, yet at the same time I am not afraid to be the center of attention if I deserve it. "
otherfeline,"They evolve from shinx at level 18 (or age 18 for me), and I've always seen the kid inside of me a shinx and the luxray/luxio what i look like on the outside. Its also a symbol for my own mental conflict. The inside, which is nice, caring, and quiet, is a shinx, and the outside is angry, depressed, strong, big, and unsure of anyone, like a luxray. The Luxray is my outside body, the weightlifting man, and the shinx is the kid deep inside"
skunk,"Cat, I'm extremely loyal and loving to thous I trust."
otherfeline,More personality similarities than I can count.
domesticcat,"I've always been around cats my entire life and loved them, and my personality fits into the mold perfectly too, along with loving the appearance."
redfox,I feel that my personality most closely resembles the fox.
husky,The animal I chose was due to my love and adoration for the animal.
lion,"I tend to associate lions with humbleness, wisdom, and dormant strength. They might be active or lazy from one moment to the next, and I see them being casual lovers, usually on the dominant side but not minding some dominance from their partner.. Also, I used to have quite long hair and although it's short now, it's still enough I can associate with a mane."
bat,my fursona is an elephant-bat solely because I enjoy elephants and bats.
otherdog,"I chose corgi to represent my personality because there are many personality qualities that we share in common from the quirkiness, to sarcastic, to lazy."
lizard,All are parts and pieces of my Therianthropy. Moth is my totem animal.
wolf,I identify with the animals above as a therian so that is how I am most comfortable way to represent myself in the furry fandom
otherfeline,"to be specific, my fursona is a feline alien. i have always loved cats and i have always felt a special connection towards space which is why this is my fursona's species"
otherfeline,My mannerisms reflect that of a feline than any other creature. 
polarbear,I like polar bears.
arcticfox,Foxes are my favorite animal.
otherfox,"I see the animals instincts in myself.
"
otherdog,I just feel that the two that I picked represent me the best when I roleplay.
wolf,"I am fiercely loyal to my friends and loved ones and have always called them my pack.  I'm a prior Marine and so, I'm trained to stalk and hunt down my enemies. And, I've always had a deep respect for wolves."
raccoon,No. It's just cute.
othermarsupial,"Dragons are fun because you can do anything with them, I have a dragon/roo character. My first character was a pitbull. The character that is the most 'me' is a Tasmanian devil - short, chubby, bad temper."
husky,more of a dog person 
redfox,Totem descriptions and common media tropes. Kitsune lore.
redpanda,Choose them for my Fursona.
germanshepherd,My personality matches almost perfectly with that animal.
domesticcat,Because cats are awesome!!!!!
redfox,Attributed characteristics in Western folklore; specifically intelligence and sneaky/crafty behavioural traits.
dragon,"Wolf's Leadership, Dragons's Power and Shark's Senses"
otherdog,"My personality; people have told me my behaviour is almost dog-like, even before I discovered the Furry Fandom... My general attitude towards life, comforting people and the likes. The wolf part being that I was alone for a long time in my life, or at least it felt like it, and also for the loyalty to my new-found friends and family."
domesticcat,"I have grown up around cats all my life. Though not terribly so, I consider myself to have some cat-like characteristics."
otherreptile,"I love reptiles, they are so ancient and wonderful. Mine particularity is a mutt created myself, so its very personal and pretty much an alternate me. "
otherdog,"My fursona is a pitbull because they are big, muscular dogs that are often unfairly stereotyped as being vicious and mean when they are in fact quite derpy and sweet when one gets over their fears and gets to know the dog, and that is something that I feel I kind of poke at when total strangers feel intimidated by me for no apparent reason until they get to know me and I'm basically dumb and drool all over them and just wanna play fetch or something. :B"
coyote,"'Tis my theriotype.  I've made throwaway characters of many different species, though, but this is the one I always identify my true self as."
domesticcat,"I have loved cats for my whole life. They match my personality, I guess."
otherfox,I chose to be a Jeweled fox basing it off my love of gems and Shippo from InuYasha. I created the Jeweled fox myself.
otherdog,I always have enjoyed and loved dogs and my favorite dogs are huskies and golden retrievers. 
husky,"I chose a husky because I always felt familiar with these dogs. Since the day I saw one of these, I felt like I was connected to them, as if I was part of their family. Since then, my fursona was and will always be a husky!"
seaotter,"I chose the sea otter because I felt a connection with the animal. To me sea otters have a nurturing quality that I feel is something I would want to convey to others and since they are a species native to California, I felt it was fitting. Sea otters are also very fascinating creatures that I would never have come to know more about if I had not taken the time to read about them prior to choosing my fursona. "
riverotter,"They're local to my area, and they're just so darn cute!"
otherbear,"Yes, the black bear seems to fit my personality traits the best."
redfox,I grew up with foxes in the woods behind my house and was always fascinated with the sounds of the cubs playing and the vixens screeching for a mate.
otherfox,Fox is what fits me the best and I've always felt like one.
domesticcat,Matching personalities. Similar behaviour and an easier character immersion in RP contexts
husky,"wolf, and husky  seem to have a kinship with me  as far as  thy go they just seem to like and get me , as for Squirrels . . . I'm a bit of a horder  with movies  games and  food  and Squirrels  do horde food .  ( and again  they seem to like me in the wild ) "
dragon,"I feel a slight sort of bond with the dragon type... My mother loves dragons, and I have grown up reading ""Dragonriders of Pern"" and literature such as that...

...That and I have a bit of a hoarding ""thing"", especially with some things... ^^'''"
greyfox,I love foxes. They're my favorite animal and I identify with them most. 
tiger,"My fursona is actually a Beige fox, the reason I identify with it is primarily because it's noctornal and what I see the furry fandom as being ""the general populus"" and relatively intelligent. Though I find myself wanting to change over to a tiger, as that is my favourite animal."
domesticcat,"I like the independence and loner qualities of both the cat and dragon. I like the grace and playfulness of a cat, but the wisdom and ferocity of a dragon."
otherdog,Theriotypes and natural/aesthetic appeal.
wolf,"Many including personal, heraldric, mythic, symbolic, and enjoyment based."
greyfox,"Dragons: They can be bizarre, intriguing, mysterious, curious and well informed. A dragon is a fantastic creature defined only by the limits of our imaginations as sentient beings. However, their most prevalent guise is that of a formidable, free, intelligent and willful creature. I identify with that primary description of a dragon - never backing down from things I feel justified in pursuing, living my life how I desire and without fear of judgment from others, pursuing intellectual concepts such as philosophy and the art of words and upholding my morals and feelings with the utmost confidence in them.

While I may be no high-flying, fire-breathing, ass -kicking monster of a reptile, I try my best to be strong and proud of who I am. Praising and criticizing myself where needed. All of the other animal selections pale in comparison to how accurately the dragon personifies me.

The Fox: It personifies my cleverness and my abilities to adapt to any environment or situation with relative ease. I seem to be targeted or sought after for some of my characteristics and interests, much like the fox is targeted for its hide and value as a pet. The fox was actually my very first fursona! But not my first furry OC. In fact, truth be told, I was involved in the furry fandom since childhood and I never knew it! But back then, a dragon was my only character.

Dinosaur, Theropod: I particularly identify with the Theropods for many of the same reasons as dragons. Power, willfulness, cleverness and freedom. However, as we all know, creatures like Tyrannotitan and Allosaurus were far from friendly, or even reasonable; certainly unable to commune or cooperate with the general masses of humanity for the most part. Hence their back seat to dragons.

Alligator: I chose this species for their power and willfulness. Alligators, as with many species, are quite suppressed by humanity and, therefore, are not as free as a dragon or a dinosaur - which (generally) have no fear of or never had to deal with humans, respectively."
hyaena,"Hyenas are fiercely independent, and also pack animals at the same time. Female spotted hyenas are dominant, but I chose to be a striped hyena because they mate for life. Also, my bite is just as strong as my bark. "
wolf,"Their simbilise all I hold dear loyalty, strength, truth. Pluse their beautiful"
lizard,The characteristics represents different aspects of my own life.
otherfox,I think that black foxes and dragons are an interesting species.
pandabear,"Dragons and Dinosaurs, because I always had a fascination for them even when I was younger. 
If I asked certain friends or family members, they would identify me as either a Panda, Rabbit or Squirrel.
The rat is somehow special to me, yet I still have to figure out why. Perhaps because his characteristics and physical 'problems' resemble mine -such as Hypermobility-."
raptor,I choose species over the symbolism and characteristics/trait of the animal and by how much it relates with my personality.
otherdog,personality
panther,yes
domesticcat,"I've always liked cats and spent a lot of time around them my entire life. They are special to me and I feel like I sometimes share personality traits with cats in general, so it seemed normal. "
snowleopard,"I strongly relate with the snow leopard, as my main, partially because I am fair skinned and am rather small yet stout. I have smaller features but am strong. Also, I enjoy lazing about when I can but do enjoy being outside in the sun and being active."
wolf,A strong interest in werewolves when i was younger that eventually merged into the furry fandom
otherbear,Built like a bear
wolf,"I love dogs, and wolves, leading me to an attachment for them, and a desire to shape my fursona around my image of them,"
redfox,N/A
domesticcat,"Feline characteristics are a mix of what I see in myself currently (cuddly, flexible, precocious) and what I would desire to have (grace, pride).  I am frequently described as cat-like by non-furry friends."
wolf,Personal traits and behaviours
weasel,their size and placement in the animal kingdom
wolf,I find myself drawn towards the animals listed above because I believe that they embody different aspects of my personality. 
otherungulate,"I like all ungulates but I like goats a lot, and they fit my personality."
panther,Panthers are athletic animals and i participate in athletic activities
wolf,"Spiritually, I more closely identify with the wolf. I see many wolf characteristics in myself. 
As for Moose, I've always had a fondness for them. They are my favorite plush toys and they are just so darned cute. "
raptor,Always thought Birds were cool looking.
deer,I chose deer because it fits both my personality and physique and physical style.
wolf,"Always have. Yearn for the pack hierarchy, and am very pleased when in a proper Beta role. Like a canine, I am most happy when Alpha is pleased back with me, in most contexts. Relations with parents, coaches, instructors, superiors, significant other, etc. I WANT them to be proud of me, their 'top dog.'

Not quite as domesticated as other canine breeds, yet not an 'alpha-male' desiring dominance."
wolf,"i love the wolf for its beauty and strength, i feel somewhat linked to wolves."
tiger,The husky is a beautiful animals and the tiger is my sprital guide
redfox,"Raccoon and fox= mischievous and resourceful
Wolf= loyal and other reasons"
skunk,"As a skunk, I find symbolism in the black/white color scheme of the animal."
wolf,Unexplainable affinity. 
bat,Spiritually
wolf,Pack mentality.
husky,Husky because I adore cold weather.
othermustelid,Feel I have the traits for both particular species. Personality and physical wise to a certain degree.
wolf,"I find myself just always drawn to wolves, especially when it comes to the pack and such group things
"
wolf,"Wolf therianthrope (basically the otherkin community)
My fursona does not reflect how I see my ""wolf self"" but it made sense for me to choose a wolf fursona."
dragon,"I'm part of the whole 'Otherkin' troupe, In fact I was one before the term was even coined.  With this in mind, I follow the belief of being a Dragon in a previous life."
otherfox,They are the type of animals I wish I were kinda like in some way.
husky,"It's because I am extremely energetic, playful, and loyal as well as a fun person to be around and generaly a nice person. Which is what huskies seem like to me."
jackal,I identify with a jackal and fox hybrid because I admire the ferocity of jackals and their place in mythology. Foxes I find adorable and are interesting in how they can be so similar in attitude to felines.
husky,"closest domestic relative to wolves, I enjoy the wildness, but also tend to be loyal, maybe to a fault"
wolf,"loyalty, friendship, honor amoung friends.  all traits I admire in other humans as well."
husky,"They're my favorite animals and since I like to draw them, I made my fursona out of it. Therefore, being used to having a husky as a fursona I identify with it, but it is not very similar to my personality."
riverotter,"My personality matches what I think an otter's personality would be like.
I've always liked otters."
greyfox,I have a spiritual connection to wolves.
snowleopard,no reason
rabbit,I just like bunnies
snowleopard,It fits my personality.
arcticfox,My last name means Fox and I always thought they were different from other animals growing up.
dinosaur,"Velociraptor, seemed closest fitting to my personality and nuances.
"
kitsune,"I act quite like a wolf, but at other times I am a lot like a kitsune."
wolf,It is the only one of its kind in the fandom
otherfeline,Yes.
tiger,"One of the reasons I believe I have a strong connection to white tigers is 
1) I am not lithe and have alot of physical body problems, I am also a very tall and large person. My fursona is the complete opposite, a lithe and quick, steady on their paws tiger.
2) White specifically is what I gauge to be the most innocent of colours, and my fursona is very innocent and 'cute'."
otherfox,"Well, I've always been around a fox, my pet Maggie is a fox and with my parents in the military I spent more time learning from her growing up then from humans, so I believe I am a fox "
otherdog,I like their looks. I feel a mental kinship to them.
dragon,"It's a mix of interest in animalistic traits, how Dragons are seen as possibly intelligent, and most straightforwadly that I am more interested in dragon-like traits than I am when it comes to other animals."
greyfox,Its the way I feel
cheetah,"I like cheetahs because they are not the strongest or the bravest, but they still get things done in a world where they are not dominant."
snowleopard,always loved it 
kangaroo,"My main one Raccoon because Raccoon characters  in cartoons and other anthro media are stereotyped typed as lower class slums poor, dirty and unkept witch fits my person perfectly. "
bat,"Flying, nocturnal, cute mammal."
jackal,Wolf because i just feal that it is me
panther,Its just what I've always felt fit me.
tiger,The attributes of this animal are awe inspiring!
snowleopard,"I have feline attributes similar to a housecat but I enjoy the winter and the snow, I define myself as a house kitty snow leopard type thing."
skunk,"I identify with a skunk because of a family pet I had as a child. Fiercely protective and aggressive toward strangers but easily swayed to your favor if you gave it ample love and affection. As I grew, I adopted a similar state of mind and when I decided to embrace the furry lifestyle, I thought there no other possibility than a skunk. "
husky,"First Fursona - Liger. Most guys here are dogs/wolves and I don't really fit in. I wanted stripes and a mane.

Second Fursona - Husky. Generic, adorable, playful"
kitsune,too long and too boring to fit in here. mostly just small personality quirks and allergy jokes
hyaena,"Aardwolf Hyenas looks fit my personality, and I'm unique and different like I feel hyenas are to the fandom."
raven,"A crow is socially detached, it observes mankind atrocities from the high and it isn't corrupted by them. A crow is socially selective, it judges zealously which individuals can enjoy his company. A crow is individually thoughtful, it's a researcher of the celestial truth."
wolf,"Wolf are social animals with strong hierarchy, they are strong and beautiful to see."
otherfox,There are several traits that the animal has that similar to my personality. 
dragon,I have always loved dragons. Just the magic and the mystery behind them has always peaked my interest.
lion,"I'm a Leo, and have always loved lions in general."
wolf,No particular reason.
rabbit,"I read a lot of Redwall as a kid, and the hares / Long Patrol were always my favorite critters / emblematic of how I choose to live. I also like how they're portrayed in art (as opposed to bears or rabbits). "
kitsune,i tend to have more of this animals personality than any other.
leopard,I just felt a connection to the animal when I saw them
wolf,"I find wolves to be rather noble creatures, despite them being potentially dangerous and vicious animals. But i admire the traits exhibited by the wolf. And i think they look lovely"
tiger,"fascination, childhood exposure"
othercanine,"They're willowy and flamboyant looking, like a kind of canine drag queen or super model. I have a strong interest in gender ambiguity and fashion, so that sort of quality appeals to me."
rabbit,"Rabbit/Hares are very paranoid as I am, they love lettuce (heads of lettuce are one of my favorite snacks.) They are quick thinking and quick on their feet as well, they listen and observe their surroundings often. Hares often live alone/prefer to be alone."
tiger,"When I chose my fursona, I was more of a quiet person generally, but now I've changed to being a bit more social. However, I love my little fursona guy way too much to ever change him (even though I only gave him a personalizedname a couple days ago). Additionally, tigers have always been my favorite animal(s?) because they are extremely beautiful, strong, and graceful."
kitsune,"I identify with foxes in general becuase all my life, I have been smaller than others, and have had to use my mind to garner any social status."
otherfeline,"Among many I have chosen, they reflect how I see a perception apart of myself and my interaction with others."
otherfox,Because it just feels like the right choice... And foxes are my favorite animal. ^w^
deer,"The personalities are fitting for me, especially if you go off the native american Totem meaning of the animals. "
coyote,I admire Quallities of the animals personality
dinosaur,Seeing Jurassic Park (specifically the raptors in the movie~) back when it debuted in theaters struck a very strong chord and I have identified with them ever since.
cougar,Like them and have seen a past incarnation as a cougar.
redfox,shy lonely small playfull
germanshepherd,their fur pattern looks cool
tiger,Transitioning from wolf to a more solitary animal in the tiger.
cougar,Native to my country/cultural significance.
mouse,"It's not that I identify with it. It's well, here's the beginning. For a long time, I thought it would be cool if my persona was an anthro but I could never pick an animal. When I started drawing for the furry fandom, I thought that it would be more appropriate and almost necessary that I have a furry fursona. I wanted something that could fly, but no bird species caught my interest, my bug anthro designs didn't have the look I wanted, I wasn't cool enough for a dragon, a sylph is not anthro in my mind, and other flying creatures I felt just plain clashed with my personality. Then, I thought that I could definitely make being a skunk work, but it would be weird since the first erotic drawing I uploaded was of a skunk anthro.

So I doodled and doodled ideas, trying to narrow things down. I wasn't quite satisfied, so I took a quiz out of part boredom, part curiosity, and part hope that it would help me out. I ended up with a mouse. OK whatever. I wasn't satisfied. It would feel weird having a mouse fursona anyway because of the spiritual meaning I see it having in a lot of eastern artwork. I went around online, trying to see what everyone else was doing even though I knew I wasn't the type to just pick whatever someone else was doing. I eventually decided to take another quiz but from a website where I could see all the possible results afterwards. Maybe they somehow have something listed that I hadn't thought of. I was going to just take the quiz and put random answers but I ended up answering questions pretty honestly. And I ended up with the mouse again. I entertained the thought a bit more this time, seeing as the internet apparently wants me to be a mouse. I saw how it could possibly suit me, looked up a few photos of field mice, shrugged, and went with it.

I have a strange, foolish fearlessness for a mouseboy, though. And I still wanted my persona to be able to fly. So, part western dragon my fursona became (even though my imagination somehow made it so that dragonmouse was only a secondary form that my mouse didn't like very much and he still couldn't fly very well when he takes it. Psfth, imagination ruins all the fun.)
And that's my fursona story. Nothing spiritual. Nothing fancy. Just a fun chance at using my imagination and a very fun chance to design an anthro character."
lizard,"I always like lizards in some way with their hard but smooth scales, long tongues, and interesting anatomy. Other then that something in me tells me that I would love nothing other than to be a walking lizard."
wolf,"I didn't choose the thug life, the thug life chose me."
wolf,"They are sometimes misunderstood, feared and even thought of as loners, but are actually very social creatures"
dragon,Dragons have always interested me and my personal character fits best with a dragon form.
wolf,Loyalty to my pack
redfox,I identify with the particular traits of the fox
dragon,I associate myself with the animals I have chosen above. I find traits or extreme spiritual connections to these animals.
dragon,Looks
dragon,Strong connections to a past life as this animal.
dragon,"Horse - I like muscle body and their nature's freedom. 
Dragon - I love their wings and powerful."
redfox,"I feel that my personality matches with that of a fox, and my name, Todd, in Latin means fox."
husky,Just like it :)
redfox,Agility
wolf,I've always felt a connection with canines. I've always had a pack mentality and am really loyal to friends and family. I've yet to find my true canine fursona.
husky,"Originally, I came over to furry from the scifi/gaming shore, and my previous character is a robot based on the movie Red Planet that I came up with way back in school (8+ years ago). It represents to me determination, effectiveness and independence. And a certain kind of elegance in all that, that I'd characterize as having a feline touch. A lot of things have changed in my life since then. I've moved out, started studying at the university, and also began to re-evaluate a lot of my views on life. The above still remain valuable qualities to me. However when the time came that I decided to make a furry character of my own, I didn't want to just have the same character twice. I wanted a character that can be both energetic and stubborn, but also loyal, friendly, silly and a bit on the hyper side. The decision to go for a husky specifically was totally spontaneous while idly reading various species-related articles on wikifur and wikipedia."
raccoon,They're fluffy and have awesome markings on their faces and tails.
rabbit,"rabbits are known to be delicate, frightful , aggressive when needed(at least some of them) , full of energy"
wolf,I love the chase. That deep primal feeling I get 
dragon,"Physically, my family has a trait of longevity and having a high pain tolerance which would describe a dragons near immortality and scale armor. I find myself to be wiser and a little more intelligent then the average person as well as stubborn which I find matches a dragons personality and mental traits. I also am spiritually aloof and don't get too tied down to doctrines of religion while at the same time showing respect for its structure. This might describe me being celestial in nature paying attention to the big picture instead of down to earth and paying attention to details."
coyote,"Skittish, trickster, anvils on the head coyote."
lizard,"I tend to be drawn to them naturally, and can only ever imagine myself as one of them."
jackal,"I made out an algorythm which I fed with a graph representing my family tier combined with classic characterization based off Aesops tales. In the second stage, after the probability per species was determined, I took the most dominant one and used the percentage of the other possibilites as tokens/points and adjusted the character randomly. After that, I modeled the character data with a limited amount after my current biological state. Since the mental state does not influence much I passed on that topic.

TL;DR: Math"
rabbit,"No
"
hyaena,My sister and I both identify as Striped Hyenas. We laugh a little bit like hyenas.
coyote,"Not really, everyone wants to be a fox, which kinda ruined the experience of having a fox as a character. Coyotes are similar, except bigger and not as fucking cliche'. "
lion,"Because wolves symbolize brotherhood. Lions symbolize courage. And plus, wolves are so CUTE!!!"
skunk,Yes
othercanine,I've always identified with canines because I just believe that I am like a canine in a lot of ways. But my main fursona is a vampire/werewolf hybrid because I've also always been interested in vampires and werewolves.
tiger,"Mainly due to the Totemic animals (emotions and personality).
Tiger is the one that most resembles to match my personality."
wolf,They present traits that I have or want to have.
coyote,Religious reasons.
othercanine,"I am both sociable, and self-sufficient."
kitsune,I chose a kitsune because its demeanor is closely associated with my own.
otherreptile,I don't know just do
othercanine,"well I have some fursona from my young childhood but my main one is a arctic wolf,dragon hybrid

I choose this species because I love wolves and dragons from the start, also the color red, black and white.

to make it simpler, I mix it up and got a arctic wolf that has small horn behind his ears and has a favor for red and black clothings."
otherfox,Fennecs are playful small creatures who are very edgy and always alert and moving. I can relate to this. They're also super cute :D
othercanine,"As long as I can remember, I've felt a sense of (be)longing with canines and otters, separately but simultaniously. I can't explain it, because maybe I'm not sure, but I think I see them as better beings than humans."
domesticcat,Just feel close to cats
hyaena,"Hyenas are the coolest, yo."
grizzlybear,"My weight, body hair, fondness for cuddling and closeness."
rabbit,"The bat is my namesake, as my initials spell BAT, and I strongly believe that the rabbit/hare is my spirit or guide animal."
deer,"Yes. There are physical similarities (slenderness) as well as similarities in perceived (archetype) temperament. After some thinking shortly after finding the fandom, I was leaning of identifying with deer. The fact that my mother (not knowing anything about furry or that I identified with animals) spontaneously decided that I ""must have been a deer in a previous life"" sealed the deal."
redfox,"I don't suppose so; I was caught on a blog about (real) foxes when friends decided to help me clean out my tabs. They found it amusing, so I went with it and became outwardly enamored with foxes, looking up their pictures at every opportunity around them, much to their dismay. When I created a character on FurryMUCK, I made it a fox.

TL;DR - Caught looking at foxes, went with it."
domesticcat,"I've always been a fan of cats, I think they make good household companions and they seem like interesting animals. Seemed like a good chunk of typical 'cat attributes' applied to me too, so I figured it made sense."
raptor,"Yes. I have always found birds of prey fascinating, and have always been obsessed with dragons. I've also had an attraction to wolves, werewolves and foxes. These animals incorporate some ideals of mine (namely; speed, intelligence and dexterity over brute strength).
I tried making an animal that incorporated all of the above, and I found it looked like a griffin without wings, which is a great metaphor for freedom long sought (flight for the animal, being that animal for me)."
otherdog,"Ethiopian wolf - symbolically relates to my personality and outlook
African wild dog - used for aesthetic reasons only"
coyote,"One is a role model to me - the animal has traits I admire and hope to inspire in myself. It's a symbol for who/what I want to be. The other has traits (not always desirable) that I have too, so it's more like a symbol of who I am."
wolf,"The animal characteristics fit my personality or has characteristics that I would like to develop. E.g. Being more outgoing, being more assertive."
riverotter,"It just feels right.

That, and I admire their personality and natural attributes.

Additionally, while growing up I was heavily influenced by works such as Brian Jacques' Tales of Redwall."
wolf,Yes. I just feel a connection with them in terms of personality traits and a spiritual connection with wolves.
deer,"I feel as if the personality of a deer perfectly identifies me. Calm, peaceful, laid-back and analytical.   "
mouse,"small, frightened, defenseless, but able to wriggle in and out of situations, making a difference by its mere presencce"
wolf,It's mu soul animal
redfox,I <3 foxies
collie,"I love dogs, and my breed is a mix of Border Collie and Corgi because I own a border collie and I'm short like a corgi."
snowleopard,"Tiger's are my favourite animals, followed by all felines.
And I wanted to design a bird character so I am in the process of writing it up."
wolf,"I am a wolf/vampire hybrid and i feel like it connects to me because im timod but can become vicious quickly. Plus, i am protective of my friends and a wolf symbizes a part of a pack."
lion,It just happened. :/ ?
dragon,Just feels right.
dragon,"I consider myself Otherkin, such that my spirit or soul is that of a dragon, and that I possibly was one is a previous life."
otherdog,"A dog has a raw, unbridled sexuality that I find alluring."
leopard,Varied reasons for all. 
otherfox,"My 'sona is a pretty generic looking, brown fox. Generic species as well! I identify with her as I feel that I myself am very generic and nothing very special to look at. "
tiger,I identify with these animals due to a mutt-like mix traits of myself and characteristics of these animals I perceive in myself and that others perceive in me.
wolf,"Yes. I'm loyal, protective and loving as the GSD, and I share a pack-like (brotherhood) mentality with my close and loved ones."
dragon,Yes.
leopard,"My personality, and my cuddlyness."
coyote,I just like coyotes =]
greyfox,"I feel that I relate to that animal the most, plus foxes are damn cool. Also foxes are common, and maybe I like them because I don't want to be uncommon."
arcticfox,I am manipulative and mostly solitary. Loyal to those I can trust and no one else. Clever.
wolf,Its fur color
lizard,"Based off of a char from a long D&D campaign. Came to identify with the char from having to RP it a lot, so I use it as a Fursona when needed, although I don't identify with the concept of a Fursona and so don't often use or think of it."
kitsune,"Never been quite sure why - just had an interest in Kitsune that won't really go away, and I think the legends and such are pretty interesting."
