Species,Reason,Character status
cougar,"Cougars are independent and lonesome, and don't tend to take on responsibility for others",Deprecated character
wolf,This is the character I have the most fun roleplaying with. ,Secondary Character
collie,"This is my oldest character and I still consider him my primary, though I don't do much with it. ",Primary character
wolf,Mostly it was last-minute panic when my ex-bf was asking me to decide on a species. BUT it does fit me very well personality-wise.,Primary character
horse,"Gorgeous looking animal. Strong, good looking, large genitalia",Primary character
wolf,wolfies r sweg,Secondary Character
husky,huskies r awsome,Primary character
otherdog,Dogs are cool ,Secondary Character
other,I like deer c: ,Primary character
otherdog,I never know.,Secondary Character
other,I like foxes. ,Primary character
kitsune,A representation of the female side of me ,Secondary Character
"wolf, arcticfox",I Just gravitated towards it,Primary character
germanshepherd,Always liked how friendly german shepherds are.,Primary character
"otherdog, other","Just generally feeling ""drawn"" to this breed of dog",Primary character
collie,I wanted a unique fursuit design,Secondary Character
wolf,I identify as a wolf in more of a spiritual sense but no longer as a furry character,Deprecated character
otherfeline,I like cats.,Secondary Character
dragon,"Always been fascinated with dragons. Random doodle that developed into a character, eventually developed into my online persona.",Primary character
raccoon,Raccoons have been ever present in my life.  ,Primary character
"othercanine, griffin",no idea,Primary character
mouse,I wanted a cute small fursona,Secondary Character
dinosaur,"I love dinosaurs and I love cows, so I picked a prehistoric cow",Primary character
domesticcat,"I've always loved cats, and admire their personality.",Primary character
otherbear,"Partially, I kinda identify as a ""bear"" in the gay culture, and my boyfriend calls me ""mi oso"" as a nickname",Primary character
other,Fun,Primary character
"othercanine, othermarsupial",Unique and extinct. Awareness of their unfortunate death by human hunting can bring awareness.,Primary character
"mouse, squirrel, other","They're small and cute, and fit my enjoyment of being viewed as such. ",Primary character
"wolf, other",Always been interested in wolves and werewolves,Primary character
other,My physical appearance as well as my mannerisms and personality characteristics resemble those of meerkats.,Primary character
jackal,Mainly obsession with ancient Egypt (particularly Anubis),Primary character
redfox,My personality characteristics align with that of a red fox.,Primary character
wolf,"Grew up with dogs, fascinated by mythological and cultural importance ancient cultures (such as the Romans) attributed to wolves.",Primary character
riverotter,Dream,Primary character
"wolf, dragon",I really like wolves and dragons ,Primary character
riverotter,Influence from siblings,Primary character
redfox,Personality of the species and personality perceived by the fandom both fit me well.,Primary character
other,Always been attached to the character from a young age,Primary character
redfox,Fun loving active species.,Primary character
collie,My real life dog is a collie.,Primary character
rabbit,"I've always identified as a rabbit.  Seems to always be my personality, even before people know my fursona",Primary character
hyaena,I feel i share some same quaities as this species. Also inlive that they always are laughing.,Primary character
dragon,I've been attracted to dragons since I discovered the furry fandom when I was 12 years old. He acts as a sort of Tyler Durden. He's my physical role model.,Primary character
wolf,"I identify with the ""lone wolf"" stereotype for wolves.",Primary character
otherdog,Likeness of breed characteristics to own human traits,Primary character
redfox,I just like foxes.,Primary character
"redfox, tiger",I like them,Primary character
"dragon, dinosaur","Everyone typically starts out with one of the main three (Dragon, Dog, Cat).  Usually they keep that identity as they grow, regardless of whether or not it still holds true.  Personally I still feel the strongest connection with him, while the other two are more occasional or situational.",Primary character
other,"Fluffy, athletic psychopaths; what isn't there to love?",Secondary Character
other,Apparently I have a thing for buff guys.  Also helps when trying to focus on weight training.,Secondary Character
"wolf, arcticfox, husky",Through the natural attitudes/reactions of these animals best specify me,Secondary Character
wolf,They are awesome and wolves are my spirit animal.,Primary character
"redfox, arcticfox, fennec",He is what I feel I am inside and represent well.,Primary character
other,He represents that aspect I aspire to become.,Secondary Character
"riverotter, weasel, othermustelid, other","The flora-fauna mix intrigued me. I relate in personality traits to smaller mustelids, especially land otters of all kinds and ferrets. I love the biology of plants compared to mammals. As a sci-fi writer I like to extrapolate upon these differences through a fictional alien plant species. ",Primary character
otherfox,"I don't know really, I was originally thinking wolf but I just randomly chose fox for some reason. ",Primary character
otherreptile,"I've always had a strong preference for reptiles over other animals. When I considered myself a furry, I chose a crocodile because it was somewhat more unique.",Deprecated character
other,I like bulls.,Secondary Character
rabbit,I like bunnies.,Primary character
"tiger, dragon",Couldn't decide between either species. Convenience ,Primary character
tiger,they are the most piwerful animals and living mostly alone,Primary character
tiger,most powerful creature,Primary character
horse,My girlfriend likes horses.,Secondary Character
greyfox,"Foxes are my favorite animal.
",Primary character
"wolf, husky","Not sure, thought it would be fun :3",Primary character
"dragon, other",Cuteness,Secondary Character
wolf,I have always loved the Wolf. They are a mysterious and attractive creatures.,Primary character
,I feel connection with him,Primary character
"otherdog, raccoon","I love raccoons; cute, smart, brave and have an awesome color pattern!",Primary character
horse,Well I was a Brony so I had a stallion character however I was a furry before brony. As of now I don't really identify with him anymore but he was a nice paleish purple with brown hair :3,Deprecated character
other,"Combination of bird and lion, both of which I find attractive.",Primary character
redpanda,"I have always felt close to red pandas growing up, and when I finnally got into the furry community it just fit the best",Primary character
"wolf, bat",Feel most of a connection to 5 he species ,Primary character
"redfox, greyfox","I've always liked foxes, so when it came time to choose, there wasn't any other option.",Primary character
wolf,I love wolves,Primary character
tiger,I like tigers ,Primary character
"husky, otherfeline","I have always admired cats, especially big cats like lynxes. Their grace, speed, and power are appealing. Also, huskies are adorable. ",Primary character
"wolf, lizard, other",This character is perfect me and the way I want to look like. And I develop the story and add different species as I get thoughts in my head.,Primary character
"wolf, tiger",I felt that these two animals represented me best.,Primary character
wolf,I don't really think there is one specific reason.,Primary character
tiger,I have always admired tigers,Primary character
"othercanine, other",Shared personality traits with my real-life self and the species.,Primary character
lion,My favorite animal is lions and he was the main character in a short story I made in high school.,Primary character
wolf,I am a wolf,Primary character
dragon,I chose this species because I act like it. I like to hoard random things and I like gems a lot like a dragon.,Primary character
lion,it fits my personality better than any other species,Primary character
tiger,I like RPing as a tiger,Secondary Character
panther,Multiple personality disorder; This is his character.,Secondary Character
other,Strong connection to their visual aesthetic.,Primary character
other,I really enjoy them,Primary character
wolf,It just felt right.,Primary character
redfox,"(fursona is a red fox) It's anonymous anyway Incoming (NSFW kind of) basically I chose it because it's the most arousing animal to transform into for me with my self-transformation fetish and so I have grown to rather like it.
but that is with non anthropomorphic foxes because as a fox you can't do anything like opening doors and stuff like so I decided on going with an anthropomorphic fox so I can do real life tasks live, talk, explore, basically all the fun of being human but yet being a fox
",Primary character
"wolf, germanshepherd",My favourite animals growing up.,Primary character
fennec,I like the way they look.,Primary character
riverotter,I just love them.,Primary character
wolf,It fits me.,Primary character
coyote,Lots of coyotes in CA so I see them slinking around. They figure in tribal mythology I like. I like their looks. I like attributes attributed to them by society. I used to be a tour guide at a rehabilitation zoo and a particular coyote was my favorite animal in the zoo and the most upbeat little critter.,Primary character
tiger,I like tigers. I speak a little mandarin. Its female as opposed to my male yote. Some trivial rl associations with tigers. They also have interesting mythological associations.,Secondary Character
rat,"The aesthetics and appearance. Also I read the Redwall series as a kid, which focused heavily on rodent species, so I've come to identify with this species more.",Primary character
other,"A spider is a survivor and a predator, and must be cunning to survive on its own. I greatly admire this and empathize with those traits as they remind me of my own struggles.",Primary character
snowleopard,"I have always liked cats, especially big cats. Snow leopards' solitude and self-sufficiency seemed an accurate representation of myself, along with several physical characteristics mainly in how I move and act.",Primary character
husky,Because huskies.,Primary character
deer,"This character represents the more questioning side of my gender identity and sexuality. While still male, this persona tends to be more feminine in mannerisms. I chose a deer because I see them as graceful and gentle, things I strive to be with this persona.",Secondary Character
brownbear,"People have always told me that I look like a big teddy bear, particularly because I tend to try to put on a tough outer persona. So when I joined the community, I decided that I should just run with it.",Primary character
bat,"I have had a fascination with bats since October 2013.  The mall I worked at had their large main doors open to move large equipment around, and a swarm of bats flew right in.  I was one of the first 6 to notice them in the mall.  The sight was incredible.",Primary character
"redfox, kitsune, otherfox",I've loved foxes forever and they are so fluffy and awesome!,Primary character
husky,I have no clue it just seemed like what i would be most comfortable identifying as,Primary character
other,"Played this character in second life for a couple years, had a fursuit made. Took on the fursona as a result of the fursuit.",Primary character
husky,\_(._.)_/,Primary character
dinosaur,Cute.,Primary character
coyote,Personal growth and identification with characteristics the species displays. Also physically attractive.,Primary character
"wolf, other",I couldn't decide between goat and wolf. Leaning more towards goat these days.,Primary character
lion,"Lionesses are strong, athletic, work together for the good of the pride, and spend a lot of time napping. I admire all of these things.",Primary character
dragon,"Otherkin reasons, actually. So, either a spiritual past life, or a psychological construct devised in my childhood to help me cope with difficult times. Either way, it amounts to the same effect, no?",Primary character
skunk,I always liked skunks since i raised a baby skunk when i was around the age of 10 that is mostly why i choose a skunk as my sona when i found out what furries were ,Primary character
"othermusteloid, other","Personality traits somewhat match with animal behaviors, family comes from area the animals occupy, and they're somewhat rare in the fandom",Secondary Character
"otherfox, other","personality traits seem to fit most of the animal's behaviors.  Corsacs are from Asia, right around where my family originated",Primary character
husky,:3,Secondary Character
redfox,I feel closley related to the mental aspects of this species.,Primary character
domesticcat,I love my pet cat very much ,Primary character
otherbird,Birb with big beak,Primary character
other,Because the species is really cool,Secondary Character
redpanda,"Red Panda's are adorable <3
also, firefox's mascot.",Secondary Character
kitsune,I identify with the transformative nature of kitsune and the subtlety or our nature,Secondary Character
redfox,I feel better and more casual this way.,Primary character
"otherdog, other","I enjoy colder weather, and I love dogs.",Primary character
kangaroo,eh.,Primary character
dragon,I get to be playful and serious when I want to be,Primary character
"wolf, germanshepherd",Wolves and Gsheps are cool,Primary character
"wolf, otherdog","It was the first choice i had in highschool, so I kinda just stuck with it.",Primary character
wolf,Im not sure,Primary character
dragon,"I like shinies, Have always liked dragons, Other furries told me I was a dragon",Primary character
tiger,"Generally feminine and meek, like myself.",Primary character
dragon,"I thought it was fun, so why not? More specifically I went into a lot of detail with background, race, biology and so forth, so it'd be a shame to not use him.",Primary character
redfox,"Good old airship pirate captain, fun times t' be had matey.",Secondary Character
redpanda,"I'd suppose this is the ""me"" of my characters, no name, no persona, just me.",Secondary Character
"redfox, other","As a result of RP relationships, I got an interesting hybrid out of it.",Secondary Character
other,"Skyrim, mostly Skyrim, Khajiit like to sneak. Steal valuables, your burlap is now Kharn's",Secondary Character
other,What's not to like about fluffy nomadic space raptors?,Secondary Character
otherdog,Matches my personality. Non-furs have said I was a lab in my previous life.,Primary character
otherdog,Dogs are cute.,Secondary Character
other,It's a mythical species,Primary character
"wolf, otherreptile","It was my first character, and saw that there were a lot of wolves in general. Still wanting to be one though, I mixed it up a little",Primary character
rabbit,I like the look.,Primary character
coyote,Both physical and emotional resemblance,Primary character
"wolf, redfox, germanshepherd, collie",This species has been with me for a long time and I have never found out why he has followed me for this long.,Primary character
wolf,Personality,Primary character
wolf,My strong willed personality,Primary character
wolf,While I don't identify as an otherkin I do identify with some of their ideals an feel that the wolf best represents who I am an what I want out of life.,Primary character
other,I love the species and feel it more closely represents me then any other species.,Primary character
polarbear,I like bears,Primary character
othercanine,Attraction to canines,Primary character
fennec,i adore fennecs!,Primary character
wolf,Favorite animal,Primary character
badger,Like myself a badger is tenacious and misunderstood also enjoys digging and tunnels ,Primary character
dragon,When I was young I watched Star Wars and Jurassic park. I spliced the two together and after years of development I have my character.,Primary character
dragon,cause they look cool?,Primary character
otherdog,Attributes describe my personality.,Primary character
deer,I like deer,Primary character
"wolf, otherdog",I have always held an interest in wolves and I find the Akita dog breed particularly attractive.,Primary character
wolf,"This species, however generic, seems to satisfy the graphical representation of my personality when all things are considered.",Primary character
otherdog,A nickname I got in college ,Primary character
coyote,Pre-made fursuit,Secondary Character
"tiger, other",Tigers represent a lot of qualities I wanted to emulate at the time,Primary character
greyfox,"Admired characteristics, didn't want to pick anything too incredibly exotic.",Primary character
fennec,Dem ears,Primary character
"wolf, greyfox",I like these animals. ,Primary character
redfox,I feel mentally and socially whole when envisioning myself as this character. ,Primary character
othercanine,The way they look and how they act in the wild.,Secondary Character
"wolf, arcticfox",I couldn't decide,Primary character
"wolf, otherdog, othercanine",Personality,Primary character
"dragon, lizard, other",Because lich's are cool ,Primary character
other,Because Nidoking is jawesome. ,Secondary Character
tiger,First try!,Deprecated character
dragon,Because I'm awesome and better than you! Damn I'm so sexy.,Primary character
"wolf, husky","Try to come up with something unique, but common ",Primary character
jackal,"I like Jackals, and they seemed to fit my personality and the personality/background of my character.",Primary character
other,"Came up with it late at night with my friends. I hadn't ever had a fursona before and I wanted it to be something personal, something that I could identify with but something that wouldn't just be like pouring my personality into an animal. We sat down and Googled species for what seemed like... a very long time until we stumbled across the white bison. This animal struck me as something rather interesting. They were unique, something people don't bastardize in the fandom, so I could avoid the common stigmas that plague species like horses, foxes, wolves, ect. I felt safe in picking a white bison because the species was something strong. They're hearty creatures that can endure a lot of harsh conditions. This was similar to my experiences in life thus far and I really liked that it subtly expressed my resilience without the use of flashy colours or exuberant special powers that some other furries tack onto their fursonas for added flair.
I wanted to be unique, in the same way everyone else in the fandom wants to be unique. I wanted to stand out, but my version of standing out didn't really fit the mold. The usual ""stand out"" fursonas are the ones that are either a combination of everything under the sun or the ones that are coloured brighter than the sun. For me, I wasn't really into that idea. I picked the white bison because it wasn't something I'd ever seen before in the fandom and it fit my personality parameters that I wanted to design in a character. My white bison isn't me by any means, but he'd probably be a good friend of mine.
I'm probably rambling here and I don't mean to. I'm writing this on my college campus after having gotten a few hours of sleep prior to a very early morning developmental psychology course. I guess I'll give you a too long didn't read here, but if you read all this, good on ya mate.

TL;DR: I picked this species to be LIKE me. I wanted something unique in subtle and interesting ways that I would be comfortable with for a long tim",Primary character
otherungulate,"People call me moose, moose are cool and very rare in the fandom",Primary character
othercanine,"I wanted to be different than the rest of the fandom. Plus, dingoes look visually appealing to me.",Primary character
"otherdog, othercanine",I most closely relate to and associate myself with canine tendancies,Primary character
otherdog,Ive met several of these dogs and they fit closest to my personality,Primary character
"snowleopard, domesticcat","Visually, it's a nice looking character, and I like cats.",Primary character
dragon,I've always liked dragons,Primary character
germanshepherd,RP,Primary character
otherdog,I most closely identify with this character,Secondary Character
weasel,RP,Secondary Character
raccoon,RP,Deprecated character
husky,RP,Secondary Character
wolf,It's cool,Primary character
germanshepherd,"I feel it fits my personality, hard worker, playful, bit dominant at times",Primary character
rat,"I've wanted rats for a long time, and was just sketching during a job one day and came up with it.",Secondary Character
other,"He's a suit I am buying, so I created a character for it. ",Secondary Character
wolf,I like wolves. Really all there was to it.,Primary character
redfox,because I identify as this species as well (otherkin) and it's my favourite animal,Primary character
lion,"Lions appeal to me for their historical association with nobility, their size, and the fact that I love cats",Primary character
wolf,I met a wolf in the wild once.,Primary character
"redfox, griffin","The Fox is simply a majestic animal and absolutely beautiful.
Only matched by the Power and grace of the mythological being known as Griffin",Primary character
lion,Always felt more related to felines then other species,Primary character
other,I just really liked the looks,Primary character
hyaena,"I love hyenas, and I as a person who is of mixed race, I found the hyenas place between cats and dogs an interesting reflection of my own personal life",Primary character
"husky, otherungulate",Interesting characteristics,Primary character
other,"


",Primary character
"tiger, raptor, griffin",can't choose between cat or bird - gryphon is best of both worlds,Primary character
"arcticfox, kitsune, lizard",This is my fantasy mage,Primary character
"riverotter, othermusteloid",I like otters and other mustelids,Primary character
otherdog,This is my pokesona,Primary character
"wolf, kitsune",Theriosides,Primary character
otherfox,She started as a cosplay for a character from a video game. I loved cosplaying as her and decided to adopt her as a fursona.,Secondary Character
domesticcat,I have always loved cats and had an obsession with Egyptian mythology (specifically cat goddess Bast) when I was younger.,Primary character
"otherfox, dragon","I share many personality traits and physical traits with both of the selected species. As well, I dubbed the species a ""chimera"", representing myself as an outcast, or ""monster"", among those who used to be my peers.",Primary character
hyaena,"This character is the physical manifestation of all of my negative emotions. My anger, hatred, sadness, and depression are what build this character",Secondary Character
seaotter,"The otter character I created is the representation of all of my sexual and physical desires. He equates to anything I've ever wanted or striven for, material or otherwise",Secondary Character
raptor,"This character, the second I ever created, is my introverted feelings and my shyness incarnate. The little owl is a big part of my life and a good parallel to my social interaction",Secondary Character
"wolf, other","I have no clue, evolved this way over time.  Also, I may or may not be the one eyed one horned flying purple people eater.",Primary character
redfox,Initially I chose this species as it is not a comment pet and is exotic. And of the canine like species I consider it the most unique.,Primary character
horse,Grew up around horses and have a fascination with them and the story and lore surrounded them. ,Secondary Character
redfox,Personality traits fit with my personality. ,Primary character
"othermarsupial, other","It's always been my favorite animal. I used to bounce between canine and feline, but a thylacine is neither, but it looks like both! Plus it has a pouch! I also love the mystery surrounding Australia's largest predator.",Primary character
otherfeline,I admire cats,Primary character
germanshepherd,I like GSD's and I have always had a plushie.,Primary character
rabbit,Got it in a character auction.,Secondary Character
wolf,it is my favorite animal ,Primary character
kitsune,"foxes are wonderful, I love folklore, and all those tails would be great for hugging. ",Primary character
domesticcat,"Enjoy the folklore, being feline was interesting for a while.",Deprecated character
wolf,"I felt that I could relate to the ""lone wolf"" thing, since I've always been a bit of a loner.",Primary character
other,The more dominant side of me,Secondary Character
fennec,"It is very fitting for my body type, looks, and personality",Primary character
wolf,Because I like wolves.,Primary character
collie,Matches my personality,Primary character
redfox,I felt that my personality matched the characteristics portrayed by the fandom for this species. Plus I've always found foxes extremely cute and mischievous.,Primary character
domesticcat,I just kinda fell into it.,Primary character
wolf,I've always felt spiritually connected to wolves and often dream (literally) about being one. The character I use is the wolf that I see myself as in my dreams.,Primary character
"tiger, redpanda",I like it,Primary character
otherfeline,It's just sort of 'me'. ,Primary character
rabbit,"I felt a rabbit was the right choice from the start because they're very docile creatures. I've always had slight issues with tepidness and shyness, and instead of making a character to foil that, I decided to embrace it and make it a part of me. It wouldn't be me if it was a fox or a wolf or something. I actually almost went with deer.
Also, rabbits are sexy. I mean, come on. Playgirls? The best.",Primary character
"redfox, otherdog","Was made to be the opposite of myself, more fun loving. ",Primary character
wolf,The animal characteristics as well as being close with canines,Primary character
otherdog,Felt this suited my personality better.,Primary character
"badger, otherbear",I'm a bear in real life and i think they're cool/sexy ;P,Primary character
riverotter,I really love magic and otters are cute ^^ so i created him to be a battle mage,Secondary Character
lizard,I liked it.,Primary character
brownbear,"It really connects with me, and has a lot of similar attributes that I have in real life.",Primary character
hyaena,I love how independent and strong the females are and I can easily identify with these traits,Primary character
griffin,I've always been a fan of gryphons,Secondary Character
germanshepherd,Simply because I like German Shepherds. ,Primary character
redfox,I love foxes,Primary character
husky,"I suppose I picked a husky on a whim. They're cute, energetic and active, and pretty social - all attributes I associate with myself. Holla",Primary character
"coyote, husky","Coyote: I sing
Husky: Playful, friendly",Primary character
germanshepherd,This is a roleplay character.,Secondary Character
wolf,Personality,Primary character
dragon,Reptile fan. Loved dragon characters in cartoons as a kid.,Secondary Character
dragon,Strength and cool factor,Primary character
squirrel,I liked a character from Animal Crossing ._.,Secondary Character
other,"I am both Stubborn and short sighted in my goals, plus they lend themselves well to facial hair",Primary character
wolf,"I have always felt a strong connection to wolves ever since I was 5. There are many things about the wolf that I wanted to have be a part of myself as a person, by being what the wolf typically represents.",Primary character
"rabbit, other",I chose the jackalope to represent this character because it is a mysterious yet fun creature. This character is to represent the parts of me that I am still figuring out and the otherside of my mentality that I don't understand.,Secondary Character
griffin,"Just because I like the way they look. My fursona just acts as an avatar, nothing more really.",Primary character
redfox,I like foxes. ,Primary character
germanshepherd,I consider my personality more aligned with the breed than with an average human,Primary character
tiger,"Dunno, I like tigers?  Not really a bunch of explanation behind it.",Primary character
dragon,I like dragons,Primary character
other,"It stands out, and I love bugs.",Primary character
"redfox, cheetah, otherfeline",I relate to the traits of these species,Primary character
"otherfox, dragon",It best represents my personality.,Primary character
"dragon, other","Because I have loved the franchise which this character is from. This character is not a identification of me, but a creation of my imagination. (The text boxes that aren't this one don't work, this character is a Reshiram) ",Primary character
wolf,I have always loved wolves and find them very interesting.,Primary character
horse,Because a horse is a pony right? Be honest I don't a lot of people who Watch MLP think them self as... 'Furries'. Also I got more chars but there all ponies as well so no point in adding more...,Primary character
wolf,It has been an animal that I have always adored,Primary character
otherfox,"i love canines and always have but a fax described me better than any other canine (witty, clever, playful, good sense of humor as well as other personality traits stereotypical attributed to foxes)",Primary character
"coyote, hyaena",Represtational of myself and how I like to draw my character ,Primary character
mouse,"Not entirely sure, but it's been my character for 8 years and feels like ""me"".",Primary character
dragon,"I'ts the coolest, in my opinion. and i consider Dragons to be simply epic",Primary character
brownbear,Family has Cherokee and Miami indian connections. Bear is my 'totem'. Also is cute.,Primary character
otherdog,"I love Dalmatians, they remind me of Oreo McFlurries, from McDonald's.",Primary character
wolf,"Hehe, why not wolves? I find them interesting as well.",Secondary Character
redfox,"I loved foxes, even as a child.",Secondary Character
husky,Huskies are cute!,Secondary Character
husky,The attributes of this animal best represent me.,Primary character
other,"Favorite pokemon, also loves destruction and chaos.",Secondary Character
othermustelid,"The environment this creature lives in is my favorite, and I've known about the animal since I was a child.",Primary character
"lion, domesticcat",I have very feline attributes and characteristics;  sometimes I feel like I identify more with a cat than regular humans!,Primary character
wolf,I identify strongly with wolves and wish that I could be one myself,Primary character
"othercanine, deer, other",Its my more joyful fun loving side. ,Secondary Character
"wolf, domesticcat",The personally of the creatures display how I like to be alone at times but sometimes need company,Primary character
snowleopard,"I fell in love with the snow leopard at first sight, and it was and is the most obvious choice for me. ",Primary character
lion,Loved the Lion King since I was a kid.  Love lions and hyenas.,Primary character
redfox,Foxes look cool,Primary character
riverotter,I needed a friend and I felt it was visually appealing. ,Deprecated character
redpanda,"It is very visually appealing, I also relate with their social standing and behaviors. ",Primary character
"redfox, other",I like foxes and opossums.,Primary character
raptor,I rather admire owls,Primary character
wolf,"It fits me, simple as that.",Primary character
otherdog,Dogs are my favorite animal and I can strongly identify with them and my character. ,Primary character
arcticfox,They've been my favourite animal ever since I was a kid.,Primary character
snowleopard,General admiration for this kind of creature.,Primary character
"wolf, germanshepherd, otherdog","Cardigan welsh wordi, german shepher, border collie, wolf mutt. Corgis are short and cute, gshep because they are protective and family oriented, border collie for intelligence, and wolf for pack mentality and freedom.",Primary character
riverotter,"Process of elimination, but the species came to fit me well.",Primary character
"wolf, greyfox","Elegant, fun, excitable, well groomed and associated with class and style.",Primary character
snowleopard,"I like cats/felines, and I like cold weather.",Primary character
raptor,"I stay up late, am fairly smart (apparently), eat mice, and can turn my head 270 degrees",Primary character
tiger,Innerspirit,Primary character
wolf,interest in wolves. i feel that values often attributed to wolves resonate with me. ,Primary character
fennec,Because i like foxes and i live in a hot country so i picked the fennec because they live in the dessert and look cute.,Primary character
redpanda,I can associate with itself as an animal. ,Primary character
squirrel,"The characteristics of this animal is closely like my own, and they live locally to me.",Primary character
polarbear,Felt right,Primary character
rabbit,No Idea,Primary character
"redfox, otherdog","My old dog was a yellow lab, and I kind of wanted to honor his memory by making that my fursona's primary species. However I also originally considering a fox, so I added some red markings on his character design. ",Primary character
wolf,It's my therian-type. Spiritually I am a wolf.,Primary character
rabbit,"I love rabbits, and If I was an animal, I would probably be a rabbit. They are really cute and peppy, which I feel reflects my personality c:",Primary character
"otherdog, other","I love aliens, and foo dogs, so I decided to blend the too, into a weird hybrid! I made this character for fursuiting purposes! c:",Primary character
raven,Misunderstood. Scavenger. Intelligent.,Primary character
wolf,Viking Set of wolves,Secondary Character
other,Love Them,Primary character
redfox,I had a fox tail trinket.,Primary character
redfox,Foxes are adorable.,Primary character
greyfox,"Strong affiliation with foxes, went with grey fox as it felt the best fit.",Primary character
otherbird,Awesome feathers. I like flying. They look cool. Not as many people are avian.,Primary character
coyote,Impulse,Primary character
coyote,Aesthetics. Personality. Regional recognizability. Seemingly less popular than foxes/wolves.,Primary character
domesticcat,Fits well with my personality and some of my prominent attributes,Primary character
redfox,"I strongly identify with foxes, them being my favorite animal for as long as I can remember, so it's a perfect fit.",Primary character
otherbird,"I feel a strong connection to the Phoenix legend of death and rebirth, having faced many hardships in my life, but having come out of it a new, stronger person.",Primary character
wolf,"Wolves are pretty popular here, and they're cool, of course",Secondary Character
leopard,"Cats have been my favorite animals for a long time, and leopards just look cool ",Primary character
bat,Bats are just interesting creatures,Secondary Character
badger,"It matches closely with my personality and physical attributes. Strong, caring for close people, but mostly a grump.",Primary character
coyote,"Tis more original then wolf and the animal is generally smaller but nimbler, which I believe is reflective of me.",Primary character
wolf,This corresponds with my inner spirit animal,Primary character
"kitsune, fennec","I just always liked foxes, and I consider Fennec's to be abslutely adorable, and kitsunes gives it a whole magical side to it all. Also my character is fairly short and I consider them to be rather vulnerable",Primary character
skunk,To best express myself.,Secondary Character
otherbird,To feel unique.,Primary character
cheetah,Inexplicable feeling of connection + physical attributes + personality + it's my favorite animal,Primary character
seaotter,I feel that an otter represents me as I am IRL.,Primary character
redfox,This mentaly reflects myself.,Secondary Character
bat,I think bats are cute,Primary character
"wolf, dragon","I felt they fit my personality, and I liked the look of both species as well.",Primary character
cougar,"cat fan, cougar has desirable characteristics",Primary character
cougar,I feel that cats represent my personality (being more independent and thoughtful) and the cougar is native to my favorite kind of wilderness (Pinyon-Juniper Woodland),Primary character
raptor,"I realized that I had allot of owl stuff in my room, I love the night, I was called ""wise"" when I was younger, I have big eyes, a small mouth like a small beak, I'm not a pack or flock person and owls are not flock birds, they are kind of whimsical and odd and I am both those qualities, and there are not allot of owls in the furry community. ",Primary character
"domesticcat, rabbit",Cabbit,Primary character
"germanshepherd, husky, otherdog","Defines me, who I am. Personality.",Primary character
redfox,I liked it,Primary character
other,"I didn't see any species suit me, so I made my own one.",Deprecated character
"otherfox, dragon, lizard, dinosaur",Personality and self,Primary character
domesticcat,I felt it best suit my personality. ,Primary character
snowleopard,Family background plus appearance.,Primary character
otherdog,"its like a wolf corgi, whats not to like?",Primary character
"otherfeline, other","i'm a cat through and through, but i have mousy tendencies, so a cat chinchilla <3",Primary character
redpanda,"They act cute and silly, which are things I like to be.",Primary character
"otherfox, other","Have had the character for several years. Taco comes from a story from a long time ago and how most people know me to this day. So making my character half taco, idk I thought it would be fun XP",Primary character
other,"I like bees, they have a good social structure going for them.",Primary character
snowleopard,I wanted to learn how to draw this animal and grew attached to a degree,Secondary Character
"domesticcat, other",it was an interesting combination that i wanted to make,Deprecated character
"wolf, tiger","they fit my personality, art style, and are enjoyable",Primary character
bat,I started drawing and really liked the character I created,Secondary Character
redfox,"A friend of mine throught I'm a fox. Kinda liked it, rolled with it.",Primary character
lion,"I have always had a fondness towards lions. Also, Lion King.",Primary character
wolf,The wolf is my totem animal and embodies the characteristics I admire and am proud to embody,Primary character
"otherungulate, rat, hyaena, other","Physically, emotionally, and mentally, they fit me the best.",Primary character
"wolf, husky",random,Primary character
hyaena,Made a fursuit and ended up getting a hyena. Now mostly am associated with this animal. ,Primary character
domesticcat,Identify mostly as this animal and I have a connection to them,Primary character
otherdog,When I first got into the fandom I identified mostly with this animal.,Deprecated character
cougar,Species has traits I admire and is native to my place of birth. ,Primary character
wolf,Species has traits I admire and is native to my place of birth. ,Secondary Character
riverotter,Connected to the otter characters in the Redwall series.,Primary character
snowleopard,I was just randoming Wikipedia pages and stumbled across this cool mofo.,Primary character
domesticcat,Hell if I know,Primary character
"wolf, riverotter",I admire attributes and qualities of these species.,Primary character
tiger,Just feel it is an animal i most identify with,Primary character
domesticcat,I have grown up with cats. Identify with this the most. ,Primary character
"leopard, otherfeline","I identify with felines, but love cervine attributes.",Primary character
"wolf, otherdog",sadly I have no commission or any artwork ,Primary character
"dragon, bat","I love bats.  It's 95% bat, 5% dragon.",Primary character
domesticcat,Childhood nickname is cat related,Primary character
horse,Favorite Animal/Zodiac Sign.,Primary character
,Because they're awesome.,Secondary Character
fennec,Sonic games,Primary character
redfox,I can identify common traits between myself and how people as a whole view foxes. Such as being sly and sneaky little tricksters. Plus I just think foxes are one of the cutest animals ever. That's why I chose a fox for my fursona.,Primary character
"dragon, griffin","Creatures with the strength and power to be in control of their own situation, a thing I don't have offline.",Primary character
coyote,"I hunt coyotes, it is ironic.",Primary character
wolf,I have a very solitary disposition but I stay completely loyal to those I care about.,Primary character
"wolf, dragon",This character reflected on my younger self who had a fiery temper but was still very protective and loyal to the ones I care about.,Deprecated character
